里程,Meters,Flags,Event,左高程(mm),右高程(mm)
99,957.25,0040,0000,0.310,0.110
99,957.00,0040,0000,0.210,0.130
99,956.75,0040,0000,0.190,0.190
99,956.50,0040,0000,0.190,0.260
99,956.25,0040,0000,0.260,0.350
99,956.00,0040,0000,0.340,0.500
99,955.75,0040,0000,0.460,0.650
99,955.50,0040,0000,0.550,0.760
99,955.25,0040,0000,0.580,0.810
99,955.00,0040,0000,0.500,0.760
99,954.75,0040,0000,0.520,0.780
99,954.50,0040,0000,0.410,0.770
99,954.25,0040,0000,0.440,0.710
99,954.00,0040,0000,0.270,0.620
99,953.75,0040,0000,0.230,0.510
99,953.50,0040,0000,0.100,0.380
99,953.25,0040,0000,0.000,0.010
99,953.00,0040,0000,-0.070,-0.110
99,952.75,0040,0000,-0.180,-0.170
99,952.50,0040,0000,-0.220,0.000
99,952.25,0040,0000,-0.380,-0.270
99,952.00,0040,0000,-0.530,-0.280
99,951.75,0040,0000,-0.670,-0.250
99,951.50,0040,0000,-0.680,0.100
99,951.25,0040,0000,-0.650,0.240
99,951.00,0040,0000,-0.570,0.310
99,950.75,0040,0000,-0.430,0.310
99,950.50,0040,0000,-0.270,0.300
99,950.25,0040,0000,-0.110,0.370
99,950.00,0040,0000,-0.060,0.360
99,949.75,0040,0000,-0.100,0.280
99,949.50,0040,0000,-0.160,0.170
99,949.25,0040,0000,0.000,0.090
99,949.00,0040,0000,0.030,0.060
99,948.75,0040,0000,0.090,0.090
99,948.50,0040,0000,-0.060,0.230
99,948.25,0040,0000,-0.130,0.170
99,948.00,0040,0000,-0.100,0.090
99,947.75,0040,0000,-0.040,-0.170
99,947.50,0040,0000,0.030,-0.250
99,947.25,0040,0000,0.000,-0.380
99,947.00,0040,0000,-0.130,-0.440
99,946.75,0040,0000,-0.240,-0.510
99,946.50,0040,0000,-0.310,-0.560
99,946.25,0040,0000,-0.310,-0.650
99,946.00,0040,0000,-0.240,-0.690
99,945.75,0040,0000,-0.440,-0.750
99,945.50,0040,0000,-0.370,-0.740
99,945.25,0040,0000,-0.340,-0.750
99,945.00,0040,0000,-0.020,-0.750
99,944.75,0040,0000,0.060,-0.770
99,944.50,0040,0000,0.260,-0.740
99,944.25,0040,0000,0.220,-0.620
99,944.00,0040,0000,0.140,-0.510
99,943.75,0040,0000,-0.030,-0.430
99,943.50,0040,0000,-0.010,-0.440
99,943.25,0040,0000,-0.050,-0.510
99,943.00,0040,0000,0.050,-0.510
99,942.75,0040,0000,0.120,-0.490
99,942.50,0040,0000,0.210,-0.470
99,942.25,0040,0000,0.090,-0.510
99,942.00,0040,0000,0.000,-0.510
99,941.75,0040,0000,-0.110,-0.480
99,941.50,0040,0000,-0.170,-0.410
99,941.25,0040,0000,-0.200,-0.250
99,941.00,0040,0000,-0.170,-0.130
99,940.75,0040,0000,-0.150,-0.100
99,940.50,0040,0000,-0.200,-0.170
99,940.25,0040,0000,-0.230,-0.240
99,940.00,0040,0000,-0.280,-0.220
99,939.75,0040,0000,-0.300,-0.180
99,939.50,0040,0000,-0.320,-0.140
99,939.25,0040,0000,-0.450,-0.170
99,939.00,0040,0000,-0.510,-0.170
99,938.75,0040,0000,-0.650,-0.180
99,938.50,0040,0000,-0.630,-0.100
99,938.25,0040,0000,-0.610,-0.060
99,938.00,0040,0000,-0.510,0.030
99,937.75,0040,0000,-0.370,0.110
99,937.50,0040,0000,-0.240,0.240
99,937.25,0040,0000,-0.160,0.320
99,937.00,0040,0000,-0.250,0.360
99,936.75,0040,0000,-0.310,0.370
99,936.50,0040,0000,-0.290,0.420
99,936.25,0040,0000,-0.220,0.470
99,936.00,0040,0000,-0.220,0.460
99,935.75,0040,0000,0.000,0.460
99,935.50,0040,0000,0.160,0.450
99,935.25,0040,0000,0.310,0.460
99,935.00,0040,0000,0.240,0.490
99,934.75,0040,0000,0.310,0.450
99,934.50,0040,0000,0.280,0.380
99,934.25,0040,0000,0.220,0.290
